,Name,Position,Age,Goal,Assist,Average Goals Per Game,Average Assits Per Game,Pass Percentage,Shooting Percentage on Goal,Playing Success,Whip a Cross,Tackle Percentage,Key Pass,Running Distance,Number of Matches,Classes
0,Christopher Chavez,Attacker,16,32,18,0.8,1.2,51,59,48,27,89,21,400,145,2
1,Glenn White,Attacker,34,32,12,0.2,1.5,51,59,55,80,60,8,400,102,1
2,Omar Mcguire,Attacker,17,56,12,0.8,0.8,92,59,55,35,86,27,350,155,3
3,Jorge Prince,Attacker,16,32,18,0.2,1.2,24,98,80,40,26,21,300,90,0
4,Edwin Henderson,Attacker,29,32,5,1.2,1.2,36,32,52,27,60,15,400,145,0
5,Caleb Hart,Attacker,36,56,22,1.3,1.5,92,32,80,27,26,15,300,140,0
6,Steven Ball,Attacker,27,49,13,1.0,0.8,51,98,52,96,86,14,400,155,1
7,Michael Gamble,Attacker,36,26,5,1.2,1.0,51,39,30,35,89,5,250,145,2
8,Chase Bradford,Attacker,25,56,13,1.2,0.8,50,68,36,40,92,21,500,155,2
9,Jonathon Hester,Attacker,17,32,13,1.2,0.5,36,98,98,35,42,12,200,140,0
10,Kenneth Ramirez,Attacker,29,32,15,0.8,1.0,86,32,48,96,92,14,350,145,1
11,David Berry,Attacker,18,58,15,1.2,1.0,92,98,80,80,89,12,400,150,1
12,Nicholas Stout,Attacker,16,26,22,0.8,2.0,50,68,30,96,60,27,300,90,1
13,Jacob Johns,Attacker,19,26,12,1.0,1.2,24,59,36,40,86,14,300,150,2
14,John Fuentes,Attacker,32,39,22,0.5,0.8,64,73,36,35,60,27,300,149,0
15,Charles Carter,Attacker,16,26,13,1.0,0.5,50,98,80,35,89,27,200,102,2
16,Jack Davis,Attacker,18,39,9,1.0,1.2,64,98,48,80,48,15,200,149,1
17,Christian Clark,Attacker,29,26,13,1.2,1.2,51,43,55,52,89,5,350,90,2
18,Anthony Stevens,Attacker,21,39,13,0.2,0.8,64,32,98,40,60,21,200,145,0
19,David Gilbert,Attacker,32,56,5,1.3,2.0,50,73,52,40,86,14,250,90,2
20,Roy Harris,Attacker,32,49,13,1.5,1.2,92,39,98,52,26,14,450,140,0
21,Todd Scott,Attacker,25,49,18,1.5,1.5,50,43,30,35,86,5,250,145,2
22,Timothy Contreras,Attacker,25,26,15,1.5,0.5,51,32,48,80,60,5,300,155,1
23,Andrew Stephens,Attacker,36,56,15,1.0,0.8,51,39,36,52,42,12,200,145,0
24,Martin Hudson,Attacker,16,58,13,0.2,1.5,92,43,80,96,42,15,400,102,1
25,Donald Brown,Attacker,17,32,22,0.8,0.8,24,98,30,27,26,15,300,90,0
26,Albert Buck,Attacker,36,32,5,1.2,1.5,24,73,98,40,86,8,200,149,2
27,Kevin Jefferson,Attacker,25,39,13,1.2,1.5,92,68,98,52,48,8,500,150,0
28,Joseph Clarke,Attacker,27,56,13,1.0,1.3,36,39,52,35,48,27,200,90,0
29,Joshua Thompson,Attacker,25,49,12,0.5,1.2,64,59,52,80,86,21,400,102,1
30,Ralph Harris,Attacker,18,32,12,1.3,1.2,92,43,30,89,42,14,300,155,1
31,Jeffrey Jordan,Attacker,16,39,22,1.2,0.5,86,43,80,89,86,14,300,140,1
32,John Butler,Attacker,32,39,18,1.3,1.5,24,43,80,40,86,5,250,149,2
33,Darrell Riley,Attacker,20,58,13,0.5,1.2,50,43,80,96,48,12,500,149,1
34,Christopher Gonzales,Attacker,34,49,22,0.5,1.2,36,68,80,27,92,21,400,145,2
35,Cameron Wolfe,Attacker,29,49,12,1.0,2.0,64,39,55,52,89,8,200,90,2
36,Adam Adams,Attacker,16,58,5,1.0,0.5,36,68,30,52,48,14,300,145,0
37,Christopher Harris DDS,Attacker,16,32,13,0.5,1.0,86,59,48,96,60,15,250,149,1
38,Edward Gonzales,Attacker,18,58,5,0.8,0.5,64,73,98,89,60,15,250,149,1
39,Shawn Robinson,Attacker,27,56,18,0.2,0.5,92,39,30,96,42,5,350,145,1
40,Bryan Parks,Attacker,16,42,18,0.5,0.5,24,32,36,52,48,21,400,102,0
41,Jeremy Taylor,Attacker,32,32,18,1.3,0.8,64,68,55,80,48,15,400,155,1
42,Logan Christensen,Attacker,32,39,22,1.0,1.2,36,68,52,89,86,15,350,150,1
43,Peter Wallace,Attacker,16,32,22,1.2,1.2,92,43,80,89,42,27,400,155,1
44,Gerald Hamilton,Attacker,25,56,13,0.5,0.5,86,32,30,35,26,14,250,150,3
45,Daniel Parker MD,Attacker,32,56,12,0.2,0.8,64,39,48,52,92,14,300,145,2
46,Alexander Martinez,Attacker,27,26,5,1.2,0.8,50,43,98,89,42,27,250,155,1
47,Christian Sanders,Attacker,18,39,5,1.3,1.0,36,32,98,89,26,8,500,155,1
48,Christian Cunningham,Attacker,32,32,18,1.5,0.8,36,68,98,27,26,12,300,102,0
49,Frank Miller,Attacker,20,32,22,1.0,1.3,24,73,36,40,26,14,450,102,0
50,Marcus Meyer,Attacker,21,32,13,0.5,1.0,36,98,98,89,92,12,200,90,1
51,Michael Cannon,Attacker,36,32,13,1.5,1.5,51,39,55,35,86,5,400,149,2
52,Thomas Bennett,Attacker,32,58,15,0.5,2.0,92,59,48,80,60,14,200,155,1
53,Jerry Allen,Attacker,34,49,5,1.3,1.0,64,59,36,96,60,12,500,102,1
54,Steven Hart,Attacker,19,58,9,1.5,2.0,24,73,30,40,60,12,500,140,0
55,Stephen Martin,Attacker,20,32,5,1.0,2.0,64,73,36,35,92,27,200,140,2
56,Cody Martin,Attacker,25,49,22,1.3,1.2,92,39,80,35,26,15,250,149,0
57,James Rogers,Attacker,34,42,13,0.5,0.5,64,68,80,52,42,5,500,140,0
58,Luke Pena,Attacker,29,42,12,1.5,1.2,24,73,52,52,60,5,250,149,0
59,Greg Murphy,Attacker,17,49,5,1.3,2.0,86,73,80,96,42,14,250,149,1
60,Jared Phelps,Attacker,27,56,9,0.5,2.0,51,43,36,40,86,15,350,150,2
61,Reginald Johnson,Attacker,20,32,22,1.3,0.5,24,59,55,40,92,12,350,90,2
62,Adam Hunt,Attacker,16,42,13,1.2,2.0,24,43,80,52,92,15,350,102,2
63,Joseph Villegas,Attacker,19,42,15,1.3,1.5,92,43,52,27,60,12,250,145,3
64,Joseph Salazar,Attacker,27,42,13,1.2,1.5,24,68,98,40,92,21,250,140,2
65,Darren Silva,Attacker,19,42,9,1.0,1.2,86,32,55,52,42,15,200,102,3
66,Matthew Reynolds,Attacker,22,42,15,0.2,1.5,24,43,80,80,42,5,400,145,1
67,Steven Terrell,Attacker,22,42,12,1.3,1.2,24,98,98,35,92,14,350,145,2
68,Joseph Harper,Attacker,17,49,5,1.2,1.5,24,32,36,27,42,8,450,90,0
69,Michael Rosario,Attacker,22,26,22,0.8,1.3,51,39,30,40,92,12,450,145,2
70,Mr. David Joyce,Attacker,17,42,18,1.5,1.5,64,39,98,35,92,15,400,145,2
71,Micheal Martin,Attacker,22,39,9,1.2,2.0,36,39,36,89,42,12,200,140,1
72,Dwayne Anderson,Attacker,36,39,18,1.0,2.0,86,39,52,80,42,14,250,90,1
73,Ricardo Miller,Attacker,19,32,22,0.5,2.0,92,59,98,80,48,14,250,149,1
74,Charles Edwards,Attacker,34,56,13,0.5,1.0,86,73,98,40,42,15,500,150,0
75,Michael Lynn,Attacker,36,32,22,1.0,2.0,50,68,55,40,86,14,200,155,2
76,Alex Lee,Attacker,16,32,22,0.5,1.5,92,73,55,35,60,14,200,155,3
77,Mark Lee,Attacker,22,49,22,0.2,0.5,50,32,98,35,92,15,250,150,2
78,Brian Dougherty,Attacker,18,58,13,1.0,1.2,92,98,80,35,42,14,200,155,0
79,Adam Merritt,Attacker,20,32,13,0.2,2.0,86,98,52,96,86,5,250,102,1
80,Robert Watkins,Attacker,36,49,9,0.8,0.5,36,59,52,27,89,21,300,150,2
81,Christopher Yang,Attacker,36,49,9,0.8,1.0,36,39,80,96,48,27,500,149,1
82,Matthew Brown,Attacker,17,32,18,1.5,2.0,86,98,80,96,48,15,200,90,1
83,David Mccormick,Attacker,32,56,9,1.5,1.3,50,73,48,52,42,15,450,150,0
84,Mark Hardy,Attacker,36,32,22,1.0,1.3,64,98,80,27,86,15,250,90,2
85,Aaron Schroeder,Attacker,29,26,15,1.2,0.8,86,39,80,40,86,21,500,155,3
86,Anthony Clark,Attacker,27,39,22,0.2,0.8,86,43,48,52,26,8,400,149,3
87,Harold Pierce,Attacker,32,26,12,0.2,1.2,50,43,36,27,92,12,400,102,2
88,Joseph Stephens,Attacker,19,32,9,1.3,1.0,86,59,52,27,89,12,350,90,3
89,Joshua Morrison,Attacker,19,58,22,1.5,0.8,64,98,80,80,86,12,400,150,1
90,Mr. John Lee,Attacker,22,39,13,1.3,1.3,50,98,80,96,89,14,200,149,1
91,Scott Martinez,Attacker,36,56,15,1.5,2.0,51,32,36,96,89,8,400,140,1
92,Steven Bernard,Attacker,32,42,22,1.5,1.3,64,32,55,40,92,14,500,155,2
93,Gregory Murphy,Attacker,18,56,13,0.5,2.0,51,98,80,89,48,21,250,145,1
94,John Maldonado,Attacker,34,58,9,1.2,1.5,24,98,48,89,89,21,300,155,1
95,Jeffrey Kent,Attacker,27,56,18,0.8,1.5,64,32,55,40,86,27,400,90,2
96,Roberto Kidd,Attacker,18,56,9,1.0,1.3,86,32,98,80,26,27,500,155,1
97,Tony Wiley,Attacker,25,26,15,0.5,0.8,92,39,55,80,42,8,350,155,1
98,Michael Mathews,Attacker,36,42,12,0.8,1.2,36,43,48,27,42,27,500,102,0
99,James Neal,Attacker,22,49,9,0.5,1.2,86,68,52,52,48,21,200,102,3
100,Samuel Robertson,Attacker,32,32,22,0.8,1.3,24,32,48,80,60,15,500,150,1
101,Robert Peterson,Attacker,25,32,15,1.5,1.5,51,59,52,52,42,5,500,155,0
102,David Davis,Attacker,21,32,15,1.3,1.2,36,39,98,96,60,14,400,102,1
103,Johnny Walker,Attacker,34,39,13,1.3,2.0,92,39,30,35,86,12,300,155,3
104,Tommy Riley,Attacker,32,26,15,0.5,0.8,50,73,30,96,42,21,450,145,1
105,Kyle Ewing,Attacker,29,56,15,0.5,1.2,50,98,80,27,60,12,350,149,0
106,Donald Kirby,Attacker,32,39,22,1.5,2.0,51,68,80,96,60,21,200,102,1
107,Michael Tran,Attacker,32,56,9,0.5,2.0,86,73,36,52,26,5,250,140,3
108,Christopher White,Attacker,25,26,13,0.8,1.3,24,39,48,80,42,12,450,140,1
109,Steven Austin,Attacker,29,49,5,0.8,0.5,92,98,80,27,42,12,300,155,0
110,Howard Hamilton,Attacker,17,39,22,0.2,2.0,51,98,55,89,26,5,350,140,1
111,Justin Banks,Attacker,36,26,9,0.8,0.5,64,98,36,80,92,27,200,140,1
112,Frederick Price,Attacker,32,32,9,0.2,0.5,86,68,48,80,60,8,250,140,1
