,Name,Position,Age,Weight,Height,Pass Break,Intervention,Air Cannon,Shooting Percentage,Dribbling,Assists,Assists Per Game,Rust Percentage,Running Distance,Number of Matches,Classes
0,Anthony Wright,Midfielder,34,82,177,16,16,8,39,50,18,1.0,68,300,149,0
1,Andrew Fritz,Midfielder,20,85,186,14,15,8,43,92,18,0.4,68,250,90,0
2,Joseph White,Midfielder,20,85,182,8,6,16,73,24,21,0.1,73,250,149,3
3,Sean Martinez,Midfielder,20,79,175,15,6,9,68,92,3,1.0,32,300,149,1
4,Julian Davidson,Midfielder,19,79,195,8,13,18,39,64,6,2.0,43,500,90,1
5,Jason Jackson,Midfielder,22,85,177,15,8,8,59,50,16,2.0,32,200,150,1
6,Kenneth Kramer,Midfielder,17,77,195,16,14,16,59,51,18,2.0,68,300,150,0
7,Gregory Anthony,Midfielder,20,85,198,15,15,16,32,50,3,0.8,32,300,90,1
8,Anthony Villa,Midfielder,22,80,182,15,10,13,98,86,6,0.8,32,200,155,2
9,Ricky Rios,Midfielder,36,76,186,14,16,13,32,50,7,0.8,73,250,90,0
10,Patrick Cooper,Midfielder,34,77,195,6,16,16,43,24,6,0.1,98,400,145,0
11,Henry Ford,Midfielder,29,70,195,8,8,18,73,70,21,0.8,68,200,145,0
12,David Lyons,Midfielder,36,82,186,14,16,16,32,51,7,0.4,73,200,102,0
13,Bruce Grant,Midfielder,32,79,190,16,14,9,73,92,6,1.4,32,350,102,1
14,Frank Lopez,Midfielder,29,70,195,6,15,13,39,86,17,0.4,98,400,155,0
15,Mr. Bradley Wood MD,Midfielder,19,82,175,15,14,13,98,92,16,0.8,39,500,155,2
16,Brandon Duncan,Midfielder,32,85,175,14,13,13,73,24,21,0.8,68,500,150,3
17,Edward Fisher,Midfielder,17,85,175,6,16,9,98,50,18,0.4,98,350,90,2
18,Michael Nash,Midfielder,32,85,177,14,16,10,68,24,7,0.1,68,200,155,3
19,John Rogers,Midfielder,36,70,177,10,14,13,59,92,6,2.0,68,500,149,0
20,David Cantrell,Midfielder,36,79,198,15,15,10,59,50,6,0.8,39,200,155,1
21,Joshua Nelson,Midfielder,16,70,198,14,6,8,59,64,7,0.5,39,250,90,1
22,Craig Brock,Midfielder,22,79,175,13,10,8,43,50,7,0.4,39,350,90,1
23,Brian Hansen,Midfielder,27,82,195,14,8,16,39,86,6,0.8,59,250,145,0
24,Seth Rodriguez,Midfielder,21,80,186,15,13,10,73,24,21,1.0,32,250,140,3
25,Adam Curry,Midfielder,17,80,182,13,13,9,32,92,7,0.4,43,250,140,1
26,Gerald Rodriguez,Midfielder,21,70,190,6,15,10,68,86,6,1.4,59,300,155,0
27,Jeremy Mcbride,Midfielder,20,76,182,8,14,13,73,70,21,0.1,43,300,140,1
28,David Kelly,Midfielder,32,85,190,15,15,18,43,24,16,1.4,68,500,90,3
29,Michael Sullivan,Midfielder,20,70,198,10,14,10,32,24,6,1.4,43,300,149,3
30,Michael Mann,Midfielder,36,82,198,10,6,18,43,24,7,1.4,73,250,140,3
31,Timothy Williams,Midfielder,22,85,186,15,13,9,59,51,18,1.4,98,400,90,0
32,Kyle Lawson,Midfielder,21,79,190,14,8,8,98,92,6,1.4,68,450,149,2
33,Michael Hill,Midfielder,19,80,182,16,16,10,73,70,18,0.8,39,300,90,1
34,Michael Finley,Midfielder,22,70,186,6,6,13,73,70,7,0.8,59,400,149,0
35,Jeffrey Torres,Midfielder,34,77,175,14,6,18,59,51,3,1.0,98,400,102,0
36,Douglas Griffith,Midfielder,20,79,198,6,14,10,43,64,17,0.1,59,250,90,0
37,Shane Rush,Midfielder,21,76,177,13,6,9,68,64,18,1.4,32,400,90,1
38,Thomas Campbell,Midfielder,22,85,182,16,10,9,98,92,3,2.0,43,200,140,2
39,Edward Bailey,Midfielder,29,80,195,14,8,16,32,50,21,2.0,98,250,145,0
40,Christopher Adams,Midfielder,21,79,195,8,13,13,43,70,16,0.1,39,350,155,1
41,Christopher Thompson,Midfielder,20,70,186,15,13,9,59,24,16,0.1,43,450,140,3
42,Derek Keller,Midfielder,21,79,198,13,8,8,68,51,18,0.1,39,450,145,1
43,Jason Burke,Midfielder,19,80,195,6,10,9,73,50,7,1.0,43,200,102,1
44,Henry Bates,Midfielder,25,82,177,16,10,13,59,24,17,1.0,39,300,90,3
45,Gregory Schultz,Midfielder,22,82,175,14,8,13,32,24,18,0.8,59,300,90,3
46,Joshua Huerta,Midfielder,20,82,190,15,13,18,39,86,18,0.5,59,500,155,0
47,Jason Young,Midfielder,29,80,175,13,6,8,73,50,16,0.1,98,250,150,0
48,Travis Kemp,Midfielder,27,80,175,13,14,8,39,24,17,1.0,39,450,145,3
49,Bryan Gibson,Midfielder,27,77,195,14,10,8,59,64,16,1.0,73,250,90,0
50,Eric Flynn,Midfielder,32,85,182,15,16,13,59,86,21,2.0,32,250,150,1
51,Michael Hanson,Midfielder,34,82,175,6,6,13,68,24,18,1.0,39,500,140,3
52,Shawn West,Midfielder,25,80,182,15,13,8,68,92,3,0.4,32,200,155,1
53,John Benson,Midfielder,16,77,182,16,6,18,39,86,17,0.4,32,250,140,1
54,Raymond Garcia,Midfielder,29,82,177,6,10,18,59,70,17,0.1,32,450,102,1
55,Dr. John Robinson,Midfielder,29,77,177,16,8,13,98,86,18,0.4,43,350,150,2
56,Robert Hanson,Midfielder,25,85,182,13,16,13,39,86,18,2.0,98,400,149,0
57,Oscar Stewart,Midfielder,20,76,198,14,16,16,43,92,3,0.1,43,200,90,1
58,Daniel Allen,Midfielder,19,85,177,14,15,18,39,50,21,0.1,98,300,149,0
